status.of.existing.checking.account,duration.in.month,credit.history,purpose,credit.amount,savings.account.and.bonds,present.employment.since,installment.rate.in.percentage.of.disposable.income,personal.status.and.sex,other.debtors.or.guarantors,present.residence.since,property,age.in.years,other.installment.plans,name,last.consume.date,housing,number.of.existing.credits.at.this.bank,job,number.of.people.being.liable.to.provide.maintenance.for,telephone,foreign.worker,creditability
... < 0 DM,6.1,critical account/ other credits existing (not at this bank),radio/television,1169,unknown/ no savings account,... >= 7 years,4,male : divorced/separated,none,4,real estate,67,none,h97680,2018/6/12,own,2,skilled employee / official,1,"yes, registered under the customers name",yes,0
0 <= ... < 200 DM,48,existing credits paid back duly till now,radio/television,5951,... < 100 DM,1 <= ... < 4 years,2,male : divorced/separated,none,2,real estate,22,none,c24908,2018/6/25,own,1,skilled employee / official,1,none,yes,1
no checking account,12,critical account/ other credits existing (not at this bank),education,2096,... < 100 DM,4 <= ... < 7 years,2,male : divorced/separated,none,3,real estate,49,none,R16139,2018/3/15,own,1,unskilled - resident,2,none,yes,0
... < 0 DM,42,existing credits paid back duly till now,furniture/equipment,7882,... < 100 DM,4 <= ... < 7 years,2,male : divorced/separated,guarantor,4,building society savings agreement/ life insurance,45,none,V21611,2018/5/25,for free,1,skilled employee / official,2,none,yes,0
... < 0 DM,24,delay in paying off in the past,car (new),,... < 100 DM,1 <= ... < 4 years,3,male : divorced/separated,none,4,unknown / no property,53,none,K52350,2018/8/29,for free,2,skilled employee / official,2,none,yes,1
no checking account,36,existing credits paid back duly till now,education,9055,unknown/ no savings account,1 <= ... < 4 years,2,male : divorced/separated,none,4,unknown / no property,35,none,l44212,2018/1/7,for free,1,unskilled - resident,2,"yes, registered under the customers name",yes,0
no checking account,24,existing credits paid back duly till now,furniture/equipment,2835,500 <= ... < 1000 DM,... >= 7 years,3,male : divorced/separated,none,4,building society savings agreement/ life insurance,53,none,z31303,2018/4/19,own,1,skilled employee / official,1,none,yes,0
0 <= ... < 200 DM,36,existing credits paid back duly till now,car (used),6948,... < 100 DM,1 <= ... < 4 years,2,male : divorced/separated,none,2,"car or other, not in attribute Savings account/bonds",35,none,x97165,2018/7/18,rent,1,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes,0
no checking account,12,existing credits paid back duly till now,radio/television,3059,... >= 1000 DM,4 <= ... < 7 years,2,male : divorced/separated,none,4,real estate,61,none,p55065,2018/9/13,own,1,unskilled - resident,1,none,yes,0
0 <= ... < 200 DM,30,critical account/ other credits existing (not at this bank),car (new),5234,... < 100 DM,unemployed,4,male : divorced/separated,none,2,"car or other, not in attribute Savings account/bonds",28,none,g57545,2018/6/3,own,2,management/ self-employed/ highly qualified employee/ officer,1,none,yes,1
